field_1,utility_name,date,time,latitude,longitude,material_at_origin,size,type,suspected_initiating_event,highlight,year
"2658",PG&E,2019/06/09 00:00:00,15:23,37.894303,-122.558142,,< 0.25 Acres,Overhead,Equipment - PG&E,False,2019
"2664",PG&E,2015/08/15 00:00:00,13:41,37.96071999,-122.570939,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2015
"2665",PG&E,2017/10/08 00:00:00,0:00,38.4506,-122.573,Vegetation,">5,000",Overhead,Vegetation,False,2017
"2666",PG&E,2017/10/08 00:00:00,0:04,38.4506,-122.573,Vegetation,">5,000",Overhead,Vegetation,False,2017
"2673",PG&E,2014/06/17 00:00:00,13:49,38.666794,-122.596397,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2674",PG&E,2018/08/14 00:00:00,15:46,38.08782,-122.60016,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2675",PG&E,2015/08/24 00:00:00,22:48,37.89604999,-122.6011,Vegetation,< 0.25 Acres,Overhead,Unknown,False,2015
"2678",PG&E,2017/06/27 00:00:00,9:23,37.95588,-122.61762,Vegetation,10 - 99 Acres,Overhead,Other,False,2017
"2680",PG&E,2016/07/29 00:00:00,18:16,38.576948,-122.61868,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2016
"2684",PG&E,2015/10/03 00:00:00,7:27,39.0632633,-122.6236917,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2015
"2686",PG&E,2014/07/01 00:00:00,6:43,38.00623,-122.64303,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2014
"2687",PG&E,2019/06/06 00:00:00,20:30,38.496949,-122.643514,,< 0.25 Acres,Overhead,Contact - 3rd Party,False,2019
"2690",PG&E,2015/03/07 00:00:00,13:35,38.70909,-122.64837,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2691",PG&E,2017/08/28 00:00:00,9:14,38.7442967,-122.649055,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2017
"2696",PG&E,2020/10/27 00:00:00,19:45,38.58398411,-122.6601825,Vegetation,< 0.25 Acres,Overhead,Contact from object,False,2020
"2705",PG&E,2016/09/26 00:00:00,10:40,38.01573292,-122.688853,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2016
